p1 p2 p3
-0.405 1.742 1
-0.099 -0.742 1
-0.701 0.718 0
-0.276 1.278 1
0.333 1.986 0
0.173 -0.556 0
-0.154 1.474 0
-0.825 -0.209 0
-0.126 1.663 1
1.211 0.580 0
0.676 -0.078 0
-0.349 -0.375 0
-0.932 -0.155 1
0.087 0.630 0
0.754 0.580 0
0.669 0.520 0
1.658 0.163 0
1.433 -0.222 0
1.263 0.855 0
0.639 -0.226 1
-0.060 1.469 1
-0.900 -0.901 0
1.279 0.710 0
0.522 0.904 1
1.431 -0.496 0
1.829 1.223 0
1.431 -0.669 0
0.504 0.318 1
0.539 -0.437 0
0.916 1.001 0
0.570 -0.209 0
1.658 -0.022 0
0.228 1.165 0
-0.121 -0.825 0
0.438 0.721 0
0.616 1.071 1
-0.318 -0.282 1
1.127 0.039 1
0.330 1.971 0
1.227 -0.329 1
1.975 -0.816 0
0.621 -0.886 1
-0.234 0.283 0
1.234 -0.595 1
-0.262 -0.251 1
-0.453 -0.195 1
0.152 1.953 0
1.932 -0.872 0
1.822 -0.513 0
-0.020 -0.923 0
-0.549 1.500 0
1.839 0.579 0
1.967 1.028 1
-0.452 -0.885 0
0.850 1.330 0
1.364 0.055 0
0.471 -0.777 1
0.104 -0.008 0
-0.579 0.408 0
0.470 0.074 1
0.851 0.812 1
0.388 0.338 1
0.795 -0.082 1
1.340 -0.957 0
-0.486 1.094 1
-0.303 0.005 0
-0.177 1.933 0
1.051 0.926 0
1.425 1.585 1
0.549 1.733 0
0.246 1.085 1
1.230 -0.092 1
1.768 -0.307 1
1.352 -0.180 1
0.361 -0.776 0
1.730 0.063 0
-0.383 1.382 1
0.068 0.784 0
1.685 1.092 0
-0.708 1.020 0
1.602 -0.164 1
-0.116 1.031 1
1.627 -0.016 1
0.213 0.631 1
0.575 1.129 0
1.872 -0.475 0
0.149 1.420 1
-0.991 -0.362 0
1.276 0.892 0
-0.338 0.451 0
-0.563 0.806 1
1.090 -0.664 1
0.002 1.976 1
0.107 -0.116 1
-0.437 -0.894 0
-0.583 1.243 1
-0.730 1.121 0
0.947 1.452 0
-0.840 -0.496 1
1.177 -0.231 0
0.490 1.625 0
0.478 1.008 0
1.077 0.076 0
-0.557 0.874 0
1.623 1.005 0
0.219 0.292 0
-0.945 0.449 1
0.844 0.745 0
-0.145 1.669 0
0.578 1.601 1
-0.608 1.477 0
1.234 -0.545 1
-0.740 -0.421 1
1.516 1.453 1
-0.395 0.901 1
-0.649 1.634 0
-0.533 1.922 1
-0.780 1.256 1
-0.897 0.015 1
0.494 1.135 1
1.328 1.772 0
-0.236 1.973 1
-0.153 0.340 1
1.179 0.697 1
-0.415 -0.244 0
1.777 0.788 1
0.023 -0.719 0
-0.185 0.617 0
1.533 0.729 0
-0.890 1.776 1
1.706 -0.197 0
0.365 1.413 1
-0.310 0.430 0
0.506 1.566 1
-0.476 1.091 1
0.014 -0.506 0
0.465 1.156 0
0.259 1.011 0
1.330 0.218 1
-0.165 -0.178 1
0.821 -0.575 0
1.889 0.851 0
-0.136 1.814 1
-0.541 0.581 1
-0.059 -0.356 0
1.803 -0.618 1
0.423 -0.269 1
-0.263 0.847 1
0.902 -0.223 1
1.964 1.123 0
-0.475 -0.291 0
1.410 1.249 0
-0.669 0.009 1
0.557 0.482 1
1.578 -0.954 0
-0.225 0.638 1
1.081 1.414 1
-0.344 0.420 0
1.545 1.260 1
-0.651 0.755 0
-0.107 0.621 0
-0.109 0.124 1
-0.390 -0.243 0
0.541 0.898 1
-0.936 1.482 1
0.113 -0.332 1
-0.152 -0.499 1
0.313 0.583 0
-0.890 1.739 1
-0.936 0.681 1
1.888 1.677 0
0.850 1.219 1
-0.559 -0.313 1
-0.960 0.014 1
0.583 -0.640 0
-0.773 0.769 1
-0.982 -0.155 0
-0.441 0.410 0
-0.327 -0.822 0
0.073 -0.582 1
-0.972 -0.380 0
-0.972 -0.837 1
0.454 -0.016 1
0.240 1.239 0
1.544 1.975 0
1.412 -0.207 1
1.445 0.518 1
-0.531 -0.137 0
1.195 0.096 1
0.893 1.707 1
0.054 0.077 1
1.056 -0.859 0
-0.165 0.056 1
1.548 0.868 0
-0.758 1.179 0
-0.481 -0.186 1
-0.798 0.485 0
0.005 1.461 0
1.196 -0.768 1
0.266 0.179 0
1.595 1.236 1
0.117 -0.440 0
-0.010 1.199 0
-0.740 1.753 0
0.530 -0.952 1
-0.377 1.795 1
0.253 1.264 0
0.687 1.945 1
0.416 0.218 1
-0.179 1.018 0
1.836 0.502 0
0.619 0.717 0
-0.784 -0.736 1
-0.771 1.969 0
1.482 1.542 0
-0.313 0.254 0
0.115 1.595 1
1.254 0.944 1
-0.515 -0.763 0
-0.257 0.631 1
1.186 0.173 0
-0.141 0.463 0
-0.635 0.327 1
-0.472 0.477 1
-0.940 -0.818 1
0.230 1.933 1
0.529 0.108 1
1.337 -0.356 0
0.588 0.698 0
-0.560 0.316 1
1.940 0.099 1
1.689 0.873 0
0.511 -0.650 0
-0.880 1.798 1
1.783 0.708 0
1.992 1.460 1
0.126 -0.011 0
-0.880 1.452 0
-0.868 1.896 0
0.208 1.923 1
0.950 1.356 1
-0.818 1.909 0
0.617 -0.150 0
-0.477 1.670 1
0.392 -0.251 1
-0.398 1.021 0
-0.911 0.644 1
1.011 -0.335 1
1.414 0.684 1
0.899 -0.473 1
-0.710 -0.093 0
1.302 0.091 0
0.201 -0.430 1
-0.521 1.725 1
0.516 0.490 1
1.247 -0.977 1
-0.172 0.370 0
0.307 0.133 1
-0.715 -0.864 1
1.586 0.092 0
1.924 0.269 1
1.567 1.158 0
0.005 -0.861 1
0.618 -0.853 0
0.341 0.340 1
-0.668 1.763 1
0.638 1.019 1
-0.141 0.932 1
0.820 0.214 0
0.234 1.134 1
1.369 1.183 0
-0.283 1.741 0
0.657 0.742 0
0.123 -0.656 0
0.274 1.594 1
0.156 1.093 0
0.370 -0.335 1
0.741 1.024 0
-0.019 0.437 1
0.360 0.396 1
-0.633 1.280 0
1.383 0.024 1
1.343 -0.214 1
0.403 0.612 1
-0.389 1.104 1
1.569 -0.914 1
-0.901 0.271 1
1.916 1.927 0
-0.712 -0.454 1
-0.295 1.506 1
0.547 0.744 1
1.750 -0.585 0
0.470 -0.432 1
-0.245 1.803 0
1.205 -0.055 0
-0.355 1.706 0
0.788 0.355 1
1.903 -0.616 1
1.480 0.170 0
1.899 0.651 0
-0.906 1.982 1
1.224 -0.789 1
1.335 0.939 0
0.029 -0.009 0
0.129 0.078 0
0.348 -0.529 1
-0.044 0.659 1
-0.557 1.022 1
0.188 0.495 0
0.126 -0.764 1
0.416 0.292 0
-0.897 -0.737 0
1.790 -0.026 1
1.300 -0.862 0
1.346 0.024 1
0.196 1.121 0
0.343 1.811 1
-0.836 1.027 0
-0.404 0.928 1
1.796 0.560 0
-0.191 0.524 1
1.239 0.645 0
0.908 -0.365 0
1.530 -0.236 1
0.374 1.521 0
1.930 0.287 1
-0.422 -0.003 0
1.253 1.808 1
0.112 0.766 1
1.202 -0.527 1
-0.875 -0.247 0
-0.296 -0.680 1
1.653 -0.558 1
1.240 -0.391 0
1.955 0.201 0
-0.820 1.154 1
-0.152 -0.376 1
-0.883 1.659 0
1.033 -0.141 1
-0.801 1.049 0
1.437 1.943 1
-0.537 -0.193 0
0.543 -0.866 0
1.168 -0.697 0
1.719 -0.751 1
-0.870 1.129 1
-0.442 0.989 0
0.051 -0.567 1
-0.790 -0.717 1
0.858 -0.748 0
1.710 1.610 1
-0.967 0.847 1
0.318 1.342 1
1.945 1.031 0
-0.151 1.070 0
-0.812 -0.492 1
-0.993 1.944 0
-0.091 1.204 1
1.717 1.000 1
0.145 -0.399 0
0.461 -0.503 0
0.156 1.068 1
0.609 1.250 1
-0.244 0.200 1
1.754 0.963 1
1.650 -0.857 1
-0.955 1.562 0
1.763 1.935 0
1.517 0.528 1
-0.424 1.834 0
1.431 -0.768 1
1.461 0.657 0
-0.399 -0.734 1
-0.991 0.106 0
-0.269 0.779 0
0.368 1.108 0
1.746 -0.193 0
0.577 -0.856 0
0.129 -0.390 0
1.894 -0.416 1
-0.750 0.002 1
0.133 -0.979 1
0.701 0.687 1
-0.001 1.603 0
1.630 0.592 0
-0.583 1.367 1
1.074 -0.803 0
-0.130 -0.428 0
-0.706 -0.127 0
0.726 0.034 1
-0.898 0.213 1
1.580 0.455 1
0.204 -0.636 1
0.578 0.763 1
1.526 1.364 0
0.759 1.437 0
-0.453 -0.528 0
0.381 0.849 1
0.640 1.503 1
0.260 0.592 0
-0.603 0.161 0
1.098 0.813 1
0.965 -0.629 1
-0.178 0.549 0
0.381 0.615 1
-0.087 0.060 0
-0.094 0.263 0
-0.258 -0.840 1
1.354 0.909 0
0.901 0.554 0
0.428 0.699 0
0.538 0.167 0
1.055 -0.329 1
0.691 0.480 1
1.716 -0.915 1
1.619 1.865 0
1.781 -0.245 1
0.136 1.913 0
0.843 -0.615 0
1.947 -0.227 0
0.050 0.900 1
-0.024 -0.519 0
-0.561 1.783 0
-0.294 0.298 0
0.269 0.404 0
1.507 1.037 1
0.356 1.355 0
-0.028 0.403 1
0.402 1.784 0
0.248 -0.679 0
0.334 0.728 1
0.374 -0.726 1
0.634 1.448 1
-0.393 -0.370 1
-0.329 0.757 1
-0.237 -0.016 1
-0.961 1.359 0
-0.455 1.483 1
1.885 -0.820 1
-0.120 1.163 1
1.246 -0.298 1
-0.751 0.285 0
0.382 0.294 0
0.023 -0.336 1
-0.893 1.551 1
1.793 0.002 1
0.126 -0.381 0
-0.292 1.226 1
-0.636 1.536 1
-0.194 0.817 0
-0.698 0.561 0
0.344 0.146 1
0.312 1.508 0
-0.861 0.805 0
-0.015 0.082 0
-0.106 -0.057 1
0.470 0.209 1
-0.465 -0.405 1
-0.197 0.370 0
1.543 0.023 0
0.245 -0.065 0
1.288 1.040 1
0.609 1.497 0
0.364 -0.649 0
-0.400 0.204 0
1.918 -0.120 1
1.143 -0.907 0
1.988 -0.890 1
0.721 -0.577 1
0.832 0.411 1
0.702 -0.990 0
1.266 1.376 1
0.681 1.556 1
-0.007 1.152 0
1.804 0.989 0
1.939 0.778 1
1.110 0.788 1
0.586 -0.489 1
-0.143 -0.675 0
-0.696 -0.833 1
1.861 1.193 0
1.685 1.450 0
1.824 0.539 0
0.878 1.285 1
-0.327 -0.600 0
0.920 0.154 0
1.889 1.036 0
1.070 0.427 0
0.843 -0.739 1
0.143 1.697 1
1.127 -0.220 1
-0.158 -0.888 0
-0.111 1.518 0
1.094 1.710 1
-0.833 0.956 1
-0.621 1.749 1
-0.780 1.466 1
0.069 0.044 1
-0.138 0.639 0
-0.244 0.298 0
0.798 0.624 0
-0.412 -0.561 1
0.952 -0.543 0
-0.398 0.947 1
-0.193 -0.601 1
1.058 0.192 1
0.733 -0.737 0
1.769 1.768 0
1.323 0.754 0
-0.559 -0.178 0
0.724 1.797 1
-0.002 -0.608 1
-0.025 0.875 1
0.923 0.736 0
1.333 0.356 1
0.585 0.670 0
0.614 -0.165 0
0.577 1.897 0
-0.479 0.459 1
1.048 0.343 1
1.981 -0.736 1
1.034 1.490 0
0.475 0.511 1
0.795 -0.292 1
0.374 -0.985 0
0.146 1.589 0
1.269 1.478 0
1.790 0.282 0
1.309 1.827 1
1.652 -0.176 1
0.532 0.543 1
-0.784 -0.526 1
0.195 1.997 0
0.850 1.047 1
1.115 1.781 0
1.148 0.246 1
0.995 0.044 1
